"","BASE com","BASE inc","MANN com","MANN inc","CELL com","CELL inc","PLA5 com","PLA5 inc","PLA30 com","PLA30 inc"
"BASE com",0,0.032,0.493,0.404,0.461,0.398,0.493,0.407,0.532,0.451
"BASE inc",0.968,0,0.593,0.498,0.544,0.466,0.589,0.499,0.623,0.54
"MANN com",0.507,0.407,0,0.018,0.48,0.394,0.517,0.428,0.552,0.466
"MANN inc",0.596,0.502,0.982,0,0.563,0.488,0.599,0.509,0.652,0.557
"CELL com",0.539,0.456,0.52,0.437,0,0.029,0.518,0.432,0.555,0.464
"CELL inc",0.602,0.534,0.606,0.512,0.971,0,0.613,0.52,0.646,0.553
"PLA5 com",0.507,0.411,0.483,0.401,0.482,0.387,0,0.034,0.53,0.456
"PLA5 inc",0.593,0.501,0.572,0.491,0.568,0.48,0.966,0,0.604,0.528
"PLA30 com",0.468,0.377,0.448,0.348,0.445,0.354,0.47,0.396,0,0.035
"PLA30 inc",0.549,0.46,0.534,0.443,0.536,0.447,0.544,0.472,0.965,0
