,CC fossil,CC biogenic,CC total
"('PS pilot (base)', 'Use and incineration')",3.2050350486844277,0.5658224865217583,3.770857535206186
"('PS pilot (base)', 'Use and biowaste')",2.73896331992782,-0.38027596915120726,2.3586873507766124
"('PS pilot (mannitol)', 'Use and biowaste')",2.7975407321035632,-0.37691040442832674,2.4206303276752363
"('PS pilot (mannitol)', 'Use and incineration')",3.2544123647297964,0.5783880281657183,3.832800392895515
"('PS pilot (cellulose)', 'Use and incineration')",3.2916873198517322,0.5611562351633367,3.852843555015069
"('PS pilot (cellulose)', 'Use and biowaste')",2.8279156747323633,-0.38724218493757356,2.44067348979479
"('PS pilot (PLA30)', 'Use and incineration')",3.143269089239887,0.5797496775336887,3.723018766773576
"('PS pilot (PLA30)', 'Use and biowaste')",2.677197360483281,-0.3663487781392755,2.3108485823440055
"('PS pilot (PLA5)', 'Use and biowaste')",2.73851102941498,-0.3693719768188712,2.369139052596109
"('PS pilot (PLA5)', 'Use and incineration')",3.2045827581715933,0.5767264788540939,3.7813092370256873
